limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,default_payment_next_month
170000,2,1,1,40,-1,-1,-1,-1,-1,-1,511,997,2446,720,236,210,1001,2446,720,236,210,52,0
310000,1,1,1,39,-1,-1,-1,-1,-1,-1,16577,1361,2716,824,757,842,1361,3146,824,757,842,13436,0
170000,2,3,1,46,-1,-1,-1,-1,-1,0,246,123,5436,1229,93787,95816,123,5436,1229,93970,4000,3348,0
120000,2,2,1,30,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
250000,2,3,1,53,1,-1,-1,-1,-1,-1,-13,3823,839,0,1762,0,3836,839,0,1762,0,0,0
450000,2,2,1,46,-2,-2,-2,-2,-2,-2,30535,83371,17471,10342,51786,45747,84267,17566,10401,52045,45812,169,0
220000,2,2,1,35,0,0,0,0,0,0,45739,46975,48211,47418,48657,48129,2000,2000,2000,2000,2000,2000,0
220000,2,1,1,43,0,0,2,-1,0,-1,6873,4911,2080,2080,4160,2080,2230,0,2080,2080,2080,4160,0
80000,2,1,2,24,0,0,0,-1,-1,0,42377,32482,20782,11632,64989,62392,2008,1000,11632,64989,1470,5027,0
500000,1,1,1,37,-1,-1,-1,-1,-1,-1,14817,2480,122750,4599,10094,43150,3904,123000,10052,10105,43168,16915,0
80000,1,2,1,30,0,0,0,0,0,-1,110692,105273,103223,97871,38640,14734,3500,4000,2600,3000,19707,50000,0
50000,2,2,1,31,1,2,0,0,0,0,34644,33669,19124,18117,18496,18880,0,1597,649,671,691,700,0
320000,2,2,1,38,-2,-2,-2,-2,-2,-2,0,0,0,111,0,288,0,0,111,0,288,1200,0
300000,2,2,1,35,0,0,0,0,-1,0,155493,179071,42404,71493,13547,27710,50706,30028,60300,27054,25003,10,0
180000,2,2,1,36,0,0,0,0,0,0,98736,96566,81166,72463,72189,70712,6025,5000,6800,5000,5000,5000,0
280000,2,1,2,31,-2,-2,-2,-2,-2,-2,1558,0,940,0,699,0,0,940,0,699,0,399,0
50000,1,1,2,26,0,0,0,0,0,0,12571,13656,15407,17127,17569,18162,1600,2280,2000,1000,1000,2000,0
120000,2,2,2,28,1,2,2,2,2,2,108993,111266,112056,112819,111298,113290,5500,4100,4087,400,4000,8932,0
10000,2,2,3,46,1,2,0,0,0,0,9532,9236,10047,8775,8984,7628,0,1006,1390,1000,1000,2000,0
30000,1,2,2,26,1,4,3,2,2,4,24386,23744,23090,22436,26886,30858,0,0,0,5000,5000,0,0
90000,2,3,1,41,0,0,0,0,0,0,2833,6003,7598,5036,4750,3007,5000,3500,4500,4300,0,1500,0
230000,1,1,1,47,0,0,0,0,0,0,143083,130011,83545,82638,26332,25425,6500,4579,4500,3000,1000,3000,0
170000,2,1,2,53,-2,-2,-2,-2,-2,-2,-200,-200,-200,0,2769,0,0,0,200,2769,0,0,0
30000,1,3,2,26,0,0,0,0,0,0,28337,27203,25791,18972,28051,20782,2000,2000,1600,10000,2140,0,0
360000,1,1,2,29,-1,-1,-1,-1,-1,-1,5143,2092,1864,969,2500,0,6159,1870,969,2500,0,0,0
50000,2,1,2,23,0,0,0,0,0,0,46750,45985,26675,16948,16303,18019,1505,2000,592,604,2000,2000,0
200000,1,1,2,34,-2,-2,-2,-2,-2,-2,485,1313,1144,933,1207,3149,1316,1147,935,1210,3158,2350,0
60000,2,2,2,24,1,2,0,0,0,2,59201,58493,58820,57827,61055,56668,2300,2700,2200,4500,0,2200,0
60000,2,1,2,24,0,0,0,0,0,0,57802,58960,60862,59279,59176,58128,2960,2866,2279,2276,2128,2237,0
50000,2,1,2,22,0,0,0,0,0,0,8537,9591,10581,10818,11050,10880,1200,1163,400,790,400,380,0
430000,2,1,1,42,-2,-2,-2,-2,-2,-2,1580,1526,806,2792,3010,-200,1526,806,2792,3010,200,0,0
360000,2,2,1,39,-1,2,2,-1,-1,-1,1220,330,165,5773,3598,3598,170,0,5773,3598,3598,6208,0
30000,2,3,1,47,1,2,2,2,0,0,13012,13502,13892,14369,15333,16289,1000,900,1000,1200,1200,1200,0
150000,2,2,2,23,0,0,0,2,0,0,41408,40958,39934,8433,6741,7586,2074,1926,0,408,3000,8275,0
300000,2,1,1,41,-1,-1,-1,-1,-1,-2,66132,6917,3050,1760,0,0,6983,3331,1760,0,0,891,0
110000,1,1,1,52,0,0,0,0,0,0,82390,84024,84485,81057,43113,40805,4000,4015,4012,3000,2164,2000,0
140000,2,1,1,31,-2,-2,-2,-2,-2,-2,1094,421,-6,2319,4051,418,422,0,2325,4063,419,969,0
160000,2,2,1,45,0,0,0,0,0,0,63198,36236,37847,37837,37637,0,7000,2500,1300,0,0,0,0
190000,1,3,2,54,0,0,0,0,0,0,142032,40883,42835,31982,36329,26964,5883,2835,5982,33329,1964,11849,0
60000,1,1,3,47,0,-1,-1,0,0,0,49689,2497,59271,28101,29724,25664,3007,59274,1500,2013,1000,1000,0
150000,2,1,2,28,1,-1,-1,-2,-2,-1,0,382,0,0,0,904,382,0,0,0,904,0,0
230000,1,1,1,44,-1,-1,-1,-1,0,-1,815,815,815,1630,815,815,815,815,1630,0,815,629,0
160000,2,5,2,52,0,0,0,0,0,0,157018,135516,117895,86943,23433,20000,5000,5000,2200,500,1000,0,0
310000,2,2,1,42,0,-1,-1,2,-1,-1,21692,19697,17257,7900,17161,14585,19697,2270,4,17161,7030,0,0
310000,2,1,2,28,0,0,0,0,-1,-1,36513,37628,39579,40879,85,4381,2500,3000,1500,85,4381,11100,0
30000,2,3,0,46,1,2,2,2,2,2,20143,19532,22194,21542,24022,25473,0,3000,0,3000,2000,0,0
200000,1,1,2,27,-1,0,-1,-1,-1,-1,9747,17230,198,875,1977,2052,10051,198,877,1982,2058,2939,0
20000,1,1,2,28,0,0,0,0,2,2,3202,4978,7720,9907,9627,11500,2000,3000,2500,0,2000,5,0
160000,2,2,2,25,-1,-1,-1,-1,-1,-1,21570,7501,10703,12448,2129,24461,7545,10841,12448,2141,24603,16897,0
20000,2,2,1,32,1,2,0,0,0,0,18931,18329,19441,20113,19864,15424,0,1414,1146,729,970,0,0
380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0
270000,1,1,2,48,2,0,0,0,0,0,56376,56911,56758,26872,23660,12053,2680,1420,15,42,2476,0,0
70000,2,1,2,27,1,2,2,2,2,2,61401,62712,63586,64440,65761,67128,2900,2500,2500,2500,2600,1000,0
150000,2,3,1,42,-1,-1,-1,-1,-1,0,11070,5947,6152,7306,18726,13839,6151,6427,7306,18738,0,7154,0
260000,2,2,1,43,-2,-2,-2,-2,-2,-2,690,2500,0,0,0,0,2500,0,0,0,0,0,0
30000,1,2,1,43,0,0,0,0,0,0,24643,24963,24428,23598,23696,23147,2496,1357,1000,843,993,853,0
140000,2,2,1,40,0,0,0,0,0,0,138389,110701,83468,41202,41687,36335,5148,3216,2003,3000,3041,5056,0
50000,1,2,2,49,0,0,0,0,0,0,47864,99572,50396,9430,9638,9801,3473,2294,328,350,323,312,0
370000,1,1,2,37,-2,-2,-2,-2,-2,-2,12913,3409,2070,1895,2214,29613,3409,2070,1895,2214,29613,535,0
230000,2,1,1,34,-1,0,0,0,-1,0,4358,6020,9938,9865,6981,12157,3000,5000,5828,6981,6157,6342,0
50000,1,2,1,28,0,0,2,0,0,0,96393,100459,96051,18051,18767,19462,5800,300,18000,1000,1000,1000,0
110000,1,3,1,34,0,0,0,0,0,0,23751,25068,26351,26996,27754,28597,1717,2000,2000,1500,2000,5000,0
200000,2,1,2,27,-1,-1,-1,2,2,2,10603,0,2500,2500,2500,2500,0,2500,0,0,0,0,0
150000,2,1,2,29,-1,-1,-1,0,-1,-1,560,290,549,204,16048,0,390,649,145,16048,0,0,0
20000,1,2,1,59,1,-1,0,0,-1,-1,-1213,30322,20033,19871,15410,18969,52082,15800,2000,20085,39070,25000,0
100000,2,2,2,25,0,0,0,0,0,0,62665,63694,65169,66501,66818,69335,2300,2500,2500,2500,3500,2602,0
170000,2,1,1,45,0,0,0,0,0,0,165243,156688,151405,127090,126388,126399,7067,6443,4617,4711,4673,4603,0
210000,2,1,2,29,-2,-2,-2,-2,-2,-2,10692,-3,-3,-3,650,1850,0,0,0,653,1859,1411,0
30000,1,3,2,29,0,0,0,0,0,0,28547,29398,29864,30115,15818,13813,1700,1500,1010,1000,1000,1200,0
80000,2,2,1,32,0,0,0,0,0,-2,28408,25695,11553,2350,0,0,1259,1035,1600,0,0,0,0
240000,2,1,1,38,1,-1,-1,-1,0,0,-25,4078,2223,31136,4367,3632,4103,2223,31136,100,0,1101,0
280000,2,3,2,49,-2,-2,-2,-1,-1,0,795,1020,0,1075,141246,146349,1025,0,1075,141246,6349,9192,0
180000,2,2,2,35,2,0,0,0,0,0,168090,150482,154063,158494,161855,171055,5500,6001,7000,6000,12000,7500,0
30000,2,1,2,23,0,0,2,0,0,2,12936,15904,15364,16798,19203,18757,3200,0,2000,3000,0,2000,0
290000,1,1,2,32,-1,-1,-1,-1,-1,0,23234,1571,108157,35379,18711,3110,1575,108168,35811,18711,0,157,0
170000,1,2,1,39,-2,-2,-2,-2,-2,-2,0,582,0,582,291,90,582,0,582,291,90,750,0
150000,2,2,2,40,-2,-2,-2,-2,-2,-2,8482,3493,4724,5749,345,349,3514,4724,5749,345,349,24026,0
50000,1,2,2,29,1,2,2,0,0,2,12460,13489,12987,13699,15868,15474,1530,0,1234,2403,0,711,0
70000,2,1,2,29,0,0,0,0,0,0,66648,66638,57404,33045,30137,21832,3000,5137,968,2500,6000,5000,0
310000,2,1,2,29,0,-1,0,-1,-1,-1,8454,14570,21897,4316,771,2888,14581,11139,15347,793,7390,1436,0
30000,1,2,2,24,0,0,0,0,0,0,26931,27791,28792,29121,29368,13174,1598,1599,928,600,627,1500,0
200000,2,1,1,40,-1,-1,-1,-1,-2,-2,3266,390,11314,-71,-467,-863,390,11320,0,0,0,2000,0
80000,1,1,2,27,0,0,0,0,0,0,74640,72565,63342,51529,41484,34097,20024,10000,4000,2000,3000,2500,0
360000,2,2,2,45,-2,-1,2,2,-2,-2,0,2500,2500,0,0,0,2500,0,0,0,0,0,0
140000,2,2,2,31,-2,-2,-2,-2,-2,-2,390,0,0,0,0,0,0,0,0,0,0,0,0
150000,2,1,2,45,-2,-2,-2,-2,-2,-2,1923,101,0,0,0,399,101,0,0,0,399,0,0
50000,1,2,2,30,0,0,0,0,0,-1,51396,52908,7456,7608,7978,10400,2481,1000,152,370,11000,511,0
200000,2,2,2,36,0,0,0,0,0,0,131694,122349,112715,102542,92335,81667,4269,3891,3488,3250,2755,2530,0
230000,2,2,2,28,0,0,0,0,0,-1,29500,4828,7633,9202,2553,6015,4800,7021,8008,0,6015,3053,0
100000,2,1,1,43,-1,-1,-1,-1,-1,-1,9122,22971,15537,27075,8423,37259,22982,15561,27091,8423,37259,16751,0
280000,1,1,2,35,1,-2,-2,-1,-1,-2,-2,399,182,4411,976,4968,401,183,4429,981,4992,4517,0
80000,1,4,2,30,0,0,0,-2,-2,-2,59292,13943,0,0,0,0,5009,0,0,0,0,0,0
240000,2,3,1,44,-1,-1,-1,-1,0,-1,24469,11511,4670,17480,5489,7740,11511,4670,17480,0,7740,6788,0
210000,2,2,1,33,0,0,0,0,0,0,206409,198390,200035,96882,99087,101427,8546,7542,11538,3735,4129,2821,0
130000,2,2,1,29,1,2,2,2,2,2,85342,88063,89895,87577,93136,91551,5000,4100,0,7000,0,7200,0
50000,1,2,1,38,0,0,0,0,0,0,25809,14888,20803,18395,18386,18420,2000,20000,700,665,727,505,0
50000,2,3,1,52,1,2,0,0,0,0,19371,18761,19469,20412,19755,20320,0,1700,1600,700,840,700,0
240000,1,1,1,35,1,-1,-1,0,0,0,0,11901,5736,1000,650,7574,11901,5758,0,150,7424,0,0
50000,1,2,1,64,0,0,0,0,0,-1,48369,44762,17403,17907,19000,18055,2384,5461,2872,1093,19055,2239,0
130000,2,3,2,39,0,0,0,2,0,0,133825,134495,133745,130814,130758,123468,7500,10000,0,4500,4500,4179,0
500000,2,1,1,40,-1,-1,0,0,0,0,4240,80648,110704,99984,71135,56594,80648,35000,10000,10000,2430,10000,0
150000,2,1,2,24,-1,-1,-1,-1,-1,-1,291,291,291,658,441,1197,291,291,658,441,1197,8007,0
490000,1,1,2,30,0,0,0,0,0,0,250637,254499,254762,253583,232878,236555,11032,10000,10000,9012,10000,10000,0
230000,2,2,2,29,0,0,0,0,0,0,24524,24897,22219,23512,12894,15183,3000,4000,3047,3000,3000,3000,0
180000,1,2,2,33,0,0,0,0,0,0,103956,103230,105945,111065,122028,125069,4100,4400,10000,12900,5000,5000,0
30000,2,2,2,23,1,2,0,0,2,2,27171,27429,26571,28128,27548,29536,1000,1800,2300,0,2600,0,0
350000,1,2,1,38,1,2,0,0,2,0,70845,69318,71301,75129,71313,68046,0,3500,5500,0,2500,2000,0
60000,1,1,1,54,1,2,0,0,0,0,60500,58926,58625,58822,56661,40700,0,2500,2500,3000,4500,3000,0
200000,2,1,1,38,-1,-1,2,2,2,-1,1779,1354,250,7250,2639,10207,1354,0,7000,0,10500,3500,0
250000,2,2,1,41,0,0,0,0,0,0,214301,211762,214629,204093,150752,150863,8972,9700,8960,5630,5777,5459,0
210000,2,2,1,34,0,0,0,0,0,0,14724,16465,17694,18892,20566,23226,2000,1500,1500,2000,3000,2000,0
300000,2,2,1,41,-1,-1,-1,-1,-1,-1,5511,1982,2263,7412,5113,4121,1982,2267,7523,5113,4121,6532,0
190000,2,2,2,36,0,0,0,0,0,0,187972,188542,190411,190197,180392,163922,8197,8400,6486,6046,6069,5626,0
200000,1,2,2,37,-2,-2,-2,-2,-2,-2,162,536,0,495,0,0,536,0,495,0,0,546,0
360000,1,2,2,28,-1,-1,-1,-1,-1,-1,9780,6672,11201,9718,8781,11846,6712,11244,9747,8806,11872,19035,0
30000,2,2,2,31,0,0,0,0,0,0,28716,26570,26829,26839,27449,25125,2000,1600,1000,1000,1000,0,0
200000,2,2,1,32,0,0,0,0,0,0,166428,157908,150977,140358,130373,131885,6026,6007,5000,5000,5000,6000,0
40000,1,2,2,35,2,0,0,0,0,-2,21072,20454,19977,20650,0,0,1504,1427,1100,0,0,0,0
70000,1,3,3,61,3,2,2,0,0,0,8909,9812,9511,10828,11346,11589,1200,0,1482,1000,426,1000,0
300000,2,3,1,30,-1,-1,0,0,-1,-1,12090,15035,25895,16416,3972,2200,15042,25500,6000,3972,2200,0,0
200000,2,1,1,37,0,0,0,0,2,2,37958,40487,41590,43967,44722,46032,3023,1600,2900,1600,2000,0,0
330000,2,2,1,37,-2,-2,-2,-2,-2,-2,2148,0,3080,3119,0,7255,0,3080,3119,0,7255,9060,0
170000,2,2,2,27,0,0,0,0,0,0,164646,162671,166202,161973,167201,161327,7200,7500,6000,10000,7000,16000,0
50000,2,2,2,23,0,0,0,0,0,0,40760,39660,23203,18983,13466,18878,1500,1500,1100,1466,5556,598,0
260000,1,3,1,34,-2,-2,-2,-2,-2,-2,12071,12497,1027,-103,-103,1047,2114,1027,103,0,1150,2503,0
60000,1,2,2,31,0,0,0,0,-1,0,53954,57469,37861,60993,2343,6707,5000,5000,25500,3000,6000,5000,0
280000,1,2,2,47,0,0,0,0,0,0,92288,77428,78544,63106,63465,64031,4004,3504,3204,2304,2504,2304,0
310000,2,2,1,44,-1,-1,-2,-2,-2,-2,500,0,0,0,0,0,0,0,0,0,0,0,0
80000,2,3,1,44,2,0,-1,-1,-1,0,31023,30390,390,390,780,780,1000,390,390,780,0,0,0
290000,2,2,2,41,0,0,0,0,0,0,268498,272517,275748,277300,209747,212027,10000,12000,8000,7000,7000,5000,0
220000,1,5,1,37,-2,-2,-1,-1,-1,0,44253,1966,6189,1850,6938,5034,1966,6203,1850,6938,101,2932,0
170000,2,1,1,52,-1,-1,2,-1,-1,-1,2939,5447,416,7509,6387,1516,3000,5,7509,6387,1666,3023,0
230000,2,2,2,38,0,0,0,0,0,0,75459,76607,78868,80343,82564,74531,3000,3500,3000,3500,3000,3000,0
20000,1,2,2,29,0,0,0,0,2,0,10321,11348,12359,13730,13371,13491,1200,1208,1579,0,608,2000,0
210000,2,2,1,43,-1,-1,-1,-1,-1,-1,3088,5045,8024,1292,1000,3340,5056,8042,1292,1000,3340,7941,0
500000,1,1,1,48,0,0,0,0,0,0,107595,109605,113409,114191,117285,120388,5000,5571,4152,5000,5000,5000,0
140000,2,2,1,36,0,0,0,0,0,0,50663,50847,50768,50629,49974,49897,1788,2182,2041,1715,1982,30000,0
230000,1,3,1,39,-1,-1,0,-1,-1,-2,2606,2986,2608,797,-3,-3,2990,1020,799,0,0,0,0
200000,1,2,1,54,0,0,0,0,0,0,177664,183236,183493,146143,144339,140340,10000,7000,5000,6000,6000,5000,0
270000,2,2,1,26,0,0,0,0,0,-1,22804,11496,12273,12014,10597,31182,1496,2273,2014,597,31182,82615,0
230000,1,2,1,41,0,0,0,0,0,0,226467,231187,231272,228653,225471,224853,10000,10500,10000,9000,8200,9000,0
150000,2,2,2,26,0,0,0,0,0,0,11474,15023,17467,19789,20173,21696,5001,3000,2616,1000,2000,1000,0
30000,2,2,2,23,0,0,0,0,0,0,23237,23874,26985,29497,29290,28693,10000,5000,3000,2000,3150,0,0
250000,2,1,2,26,0,0,0,0,0,0,50122,44742,43194,41381,33246,32948,2027,2020,1510,1000,1000,7000,0
130000,1,2,2,30,0,0,0,0,2,2,95799,97858,100534,105347,103550,109733,4500,5200,8000,0,8100,0,0
210000,1,1,2,33,-1,-1,-1,-1,-1,-1,396,396,396,396,1911,396,396,396,396,1911,396,396,0
100000,2,2,1,38,2,2,2,0,0,2,37516,38622,37706,38148,40630,39827,2000,0,1369,3100,0,1443,0
120000,2,1,1,39,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
70000,2,1,2,28,0,-1,-1,-1,-1,-1,12018,39270,603,2288,1380,2028,39270,603,2288,1380,2028,390,0
200000,2,2,2,23,-1,-1,-1,-1,-2,-1,964,-36,1000,0,0,43527,0,1036,0,0,54677,872,0
150000,2,2,2,26,0,0,0,0,0,0,69169,67855,74494,74204,75678,74235,3083,10000,2554,2566,2600,3016,0
50000,1,2,2,26,0,0,0,0,0,0,47169,48197,47738,47676,46694,47807,1804,1746,1681,1695,1890,4005,0
220000,2,2,1,32,0,0,0,0,0,0,194961,197536,203251,208355,213015,217475,7200,9000,10000,8000,8010,8500,0
80000,2,1,2,25,-1,-1,2,-1,0,-1,390,5640,390,780,390,390,5250,0,780,0,390,390,0
70000,1,2,2,26,0,0,0,0,0,0,69900,67591,68338,26916,27480,28043,2506,1925,1000,997,1020,1100,0
300000,2,2,2,32,0,0,0,0,0,0,192727,194694,188465,189094,179211,87266,8000,8001,5000,4030,4551,20000,0
500000,2,2,1,46,0,0,-1,-1,0,0,16400,886,21803,90182,79310,68380,886,21831,90182,2500,2380,2772,0
140000,1,1,2,31,0,0,0,0,0,0,128036,106657,45887,137487,111602,111552,4180,2800,100005,3800,3990,4285,0
230000,2,1,2,45,0,0,0,0,0,0,204625,205816,205294,194263,212257,206084,15006,15026,15000,20000,15030,15030,0
500000,2,1,1,39,0,0,0,0,0,0,418958,439432,440324,440565,440050,438953,39432,20000,20000,20000,20000,20000,0
310000,2,2,2,34,0,0,0,0,0,0,87559,74929,76404,76133,53065,17529,3000,3022,5208,15734,1607,140994,0
230000,1,3,1,45,0,0,0,0,0,0,203135,208225,178559,172772,175057,177113,10000,6528,6000,6500,7000,10000,0
290000,2,1,1,30,0,0,0,0,0,0,216328,218435,218783,158215,69234,71560,8000,8600,6700,2600,3500,0,0
220000,1,1,2,37,0,0,0,0,0,0,34339,35075,32355,31573,51279,53590,1294,2000,2000,30000,3000,2000,0
140000,1,3,1,37,2,2,2,2,2,2,136184,138932,140185,136438,144979,139314,6400,5000,0,10800,0,5300,0
30000,1,2,2,32,0,0,2,2,0,0,26742,29095,30819,29214,29478,23384,2800,2500,0,910,1000,1000,0
360000,2,2,1,42,1,-1,-1,-1,-1,-1,0,6815,0,1000,6344,2408,6815,0,1000,6344,2408,0,0
360000,1,2,3,32,-2,-2,-2,-2,-2,-2,10591,-326,56337,10959,7056,0,326,56663,11013,7091,0,0,0
350000,1,1,2,34,0,0,0,0,0,0,147070,109978,77151,73814,79692,79949,7331,10000,5000,10000,5000,5000,0
500000,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,0
270000,2,2,2,25,0,0,0,0,0,0,23579,24613,25617,25434,25966,26486,1419,1423,910,942,951,1000,0
110000,2,3,1,36,0,0,-1,-1,-1,-2,2309,3238,250,3100,0,0,1002,450,3100,0,0,0,0
140000,2,2,1,26,0,0,0,2,2,2,75289,90613,54597,31734,27211,23784,20000,3011,0,3000,0,5000,0
180000,2,3,2,42,0,0,0,0,0,0,102646,82849,78064,73437,108072,49206,5006,5000,5005,42500,3000,2000,0
20000,1,2,2,40,1,4,3,2,2,2,17361,16803,16253,15695,16832,16420,0,0,0,1400,0,603,0
400000,2,2,2,32,-2,-2,-2,-2,-2,-2,0,626,118,10349,2817,2410,626,118,10349,2817,2410,10715,0
20000,2,1,2,23,0,0,0,0,0,0,19082,19286,19637,18826,19522,21775,1321,1400,1000,1000,2583,0,0
120000,1,1,2,33,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,0
80000,2,1,1,37,-1,-1,-1,-1,-1,-1,2028,286,14255,10056,317,728,286,14255,10071,317,728,16312,0
30000,2,2,1,29,2,2,2,2,2,2,26799,26002,27293,26551,30223,30592,5000,2000,0,4400,1600,0,0
20000,2,2,1,24,1,2,0,0,2,2,18817,18227,19632,20298,20337,19863,0,1720,1754,893,0,400,0
170000,2,2,2,50,-1,-1,-1,-1,-1,-1,10072,2417,199,1628,0,4968,2417,199,1628,0,4968,0,0
200000,1,2,1,38,0,0,0,0,0,0,152856,156104,158279,161934,165447,168802,6000,5000,5000,5000,4917,10000,0
240000,1,2,1,39,1,-1,-1,-1,-1,-2,0,1263,-13,1667,-300,-300,1263,0,1680,0,0,1442,0
50000,1,1,2,55,0,-1,-1,-1,-1,0,11045,3115,7161,5351,791,47774,3115,7161,5351,791,46983,2025,0
130000,1,3,1,44,0,0,-2,-2,-2,-2,15722,0,0,0,0,0,0,0,0,0,0,0,0
300000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,0
70000,1,3,2,53,0,0,0,0,0,0,14054,15078,15787,16100,16437,16764,1554,1263,576,596,600,622,0
230000,1,2,1,46,0,0,0,0,0,0,117255,109450,109794,109143,107996,109230,5400,5505,5505,4000,4500,5000,0
150000,2,1,2,32,0,0,0,0,0,0,18519,19926,18600,13551,20759,21200,3000,4003,2551,15579,11200,3575,0
260000,1,2,1,32,-1,0,0,0,0,0,5227,10100,14909,19623,20012,20466,5000,5000,5000,716,776,5000,0
440000,2,2,2,28,0,0,0,0,0,0,412962,409812,393255,370202,258387,255740,15000,20000,15305,10070,15037,10052,0
340000,2,2,2,39,0,0,0,0,0,0,132749,134235,128079,64598,12014,710,5290,6706,3003,241,712,43974,0
500000,2,1,2,29,0,0,0,0,-1,-1,28555,33055,42392,36641,12149,426518,5000,10000,5132,12159,426529,20016,0
130000,2,1,2,31,0,0,0,0,0,0,133845,126804,130264,133603,132215,131848,7000,7000,7000,5500,5100,5500,0
150000,1,3,2,39,-2,-2,-2,-2,-2,-2,1580,2925,-551,-1944,-4430,-5813,2935,4,7,4,7,10004,0
140000,1,1,2,30,0,0,2,0,0,-2,90313,103560,78842,67003,0,0,15037,5,2007,0,0,0,0
290000,1,1,1,39,-1,-1,-1,-1,-2,-2,1757,3555,2256,2830,1682,1235,3579,2262,2830,1682,1235,1280,0
50000,1,3,1,46,0,0,0,0,0,0,35713,15392,16099,16418,16765,17484,1561,1268,587,611,1000,2000,0
30000,2,1,2,29,1,-1,-1,-1,-1,-1,0,686,405,3190,2844,0,686,409,3190,2844,0,0,0
350000,2,3,1,38,-2,-2,-1,0,0,0,362,792,3015,6980,8762,7532,792,3019,4580,4000,284,1000,0
280000,2,1,2,30,-1,-1,-1,-2,-2,-2,26679,52223,25088,9427,2829,198,52223,25100,9427,2838,198,4139,0
70000,1,2,1,47,0,0,0,0,0,0,53239,54351,56480,57253,59150,0,2000,3000,2500,3000,0,0,0
160000,2,1,2,31,0,0,0,0,0,0,160843,153543,157871,143690,134386,138038,6000,7225,5000,5000,5900,4992,0
180000,1,2,1,47,0,0,0,0,0,0,84973,89989,94895,98738,127382,155470,6000,6000,5000,30000,30000,20000,0
260000,1,1,1,45,0,0,0,0,0,0,21480,25791,31654,35784,40726,45923,5000,6781,5000,6452,6696,6892,0
220000,2,2,2,34,0,0,0,0,0,0,93815,96121,56148,35642,33516,30177,4300,2407,2000,2000,1100,1000,0
